region,country_code,country_name,city_name,event_area,month,event_name,event_type,description,event_url,enabled,display_order
MIDDLE_EAST,AE,아랍에미리트,두바이,두바이 전역,1,두바이 쇼핑 페스티벌,SEASONAL,"겨울 시즌 두바이 전역에서 쇼핑 프로모션, 불꽃놀이, 공연, 가족 프로그램이 이어지는 대표 도시 축제다.",https://www.visitdubai.com/en/festivals-and-events/dsf,true,1
MIDDLE_EAST,AE,아랍에미리트,두바이,글로벌 빌리지,1,글로벌 빌리지 두바이,CULTURAL_FESTIVAL,"매년 하반기부터 다음 해 상반기까지 운영되는 시즌형 문화·엔터테인먼트 행사로, 국가별 파빌리온, 공연, 음식, 쇼핑을 즐길 수 있다.",https://www.globalvillage.ae/,true,2
MIDDLE_EAST,AE,아랍에미리트,두바이,알 신다가/알 파히디 일대,1,시카 아트 & 디자인 페스티벌,ART,"두바이 지역 예술가와 디자이너의 전시, 설치, 워크숍, 공연이 열리는 문화예술 페스티벌이다.",https://dubaiculture.gov.ae/en/events,true,3
MIDDLE_EAST,AE,아랍에미리트,두바이,글로벌 빌리지,2,글로벌 빌리지 두바이,CULTURAL_FESTIVAL,"매년 하반기부터 다음 해 상반기까지 운영되는 시즌형 문화·엔터테인먼트 행사로, 국가별 파빌리온, 공연, 음식, 쇼핑을 즐길 수 있다.",https://www.globalvillage.ae/,true,4
MIDDLE_EAST,AE,아랍에미리트,두바이,두바이 전역,2,라마단 인 두바이,RELIGIOUS_CULTURAL,"라마단은 이슬람력 기준이라 매년 양력 날짜가 달라질 수 있으며, 이 기간 두바이 전역에서 이프타르, 야시장, 문화 프로그램이 열린다.",https://www.visitdubai.com/en/festivals-and-events/ramadan,true,5
MIDDLE_EAST,AE,아랍에미리트,두바이,글로벌 빌리지,3,글로벌 빌리지 두바이,CULTURAL_FESTIVAL,"매년 하반기부터 다음 해 상반기까지 운영되는 시즌형 문화·엔터테인먼트 행사로, 국가별 파빌리온, 공연, 음식, 쇼핑을 즐길 수 있다.",https://www.globalvillage.ae/,true,6
MIDDLE_EAST,AE,아랍에미리트,두바이,두바이 전역,3,라마단 인 두바이,RELIGIOUS_CULTURAL,"라마단은 이슬람력 기준이라 매년 양력 날짜가 달라질 수 있으며, 이 기간 두바이 전역에서 이프타르, 야시장, 문화 프로그램이 열린다.",https://www.visitdubai.com/en/festivals-and-events/ramadan,true,7
MIDDLE_EAST,AE,아랍에미리트,두바이,두바이 전역,3,이드 알피트르 인 두바이,RELIGIOUS_CULTURAL,"이슬람력과 달 관측에 따라 매년 날짜가 달라질 수 있으며, 라마단 종료를 기념하는 공연, 불꽃놀이, 가족 행사가 두바이 전역에서 열린다.",https://www.visitdubai.com/en/festivals-and-events/eid-al-fitr,true,8
MIDDLE_EAST,AE,아랍에미리트,두바이,알 카라마,3,라마단 스트리트 푸드 페스티벌,FOOD_FESTIVAL,"라마단 기간 알 카라마 일대에서 다양한 길거리 음식, 야간 식사, 가족 프로그램을 즐기는 두바이의 라마단 미식 행사다.",https://www.visitdubai.com/en/festivals-and-events/ramadan-street-food-festival,true,9
MIDDLE_EAST,AE,아랍에미리트,두바이,글로벌 빌리지,4,글로벌 빌리지 두바이,CULTURAL_FESTIVAL,"매년 하반기부터 다음 해 상반기까지 운영되는 시즌형 문화·엔터테인먼트 행사로, 국가별 파빌리온, 공연, 음식, 쇼핑을 즐길 수 있다.",https://www.globalvillage.ae/,true,10
